question,answer
"""What is the difference between a decree holder and a judgment debtor?""","""Under the Code of Civil Procedure, 1908, a decree holder and a judgment debtor are parties in a civil suit. A decree holder is the successful litigant entitled to enforce a court decree (e.g., for money or property) under Section 2(3), holding execution rights. A judgment debtor is the losing party obligated to comply with the decree (e.g., pay damages) under Section 2(10). The decree holder initiates execution (e.g., attachment), while the debtor faces consequences like arrest if non-compliant, as in Shyam Sundar v. Sankari Prasad (1962)."""
"""What is the Sexual Harassment of Women at Workplace Act?""","""The Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, addresses workplace sexual harassment in India, post-Vishaka v. State of Rajasthan (1997) guidelines. It mandates Internal Complaints Committees (ICCs) in organizations with over 10 employees and Local Committees for others, handling complaints with penalties (fines or jail up to 3 years, Section 13-14). It covers all workplaces, public or private, ensuring a safe environment. Cases like Medha Kotwal Lele v. Union of India (2013) reinforced its implementation, though awareness and reporting gaps persist."""
"""What is the difference between a negotiable instrument and a non-negotiable instrument?""","""Under the Negotiable Instruments Act, 1881, a negotiable instrument (e.g., cheque, promissory note) is transferable by delivery or endorsement, conferring title to the holder (Section 13), used in commerce with legal recognition. A non-negotiable instrument (e.g., fixed deposit receipt) cannot be transferred, lacking negotiability, serving as a personal contract. The Supreme Court in Kundan Lal v. Custodian, Evacuee Property (1961) upheld this, impacting financial transactions’ fluidity versus security."""
"""What is the role of the Central Information Commission?""","""The Central Information Commission (CIC), under the Right to Information Act, 2005, is the final appellate authority for RTI disputes in India. Headed by a Chief Information Commissioner and up to 10 Commissioners, it reviews PIO denials, imposes penalties (Rs. 25,000 max, Section 20), and ensures transparency. It handles 20,000+ cases annually, as seen in its 2023 backlog reports. Cases like CBSE v. Aditya Bandopadhyay (2011) strengthened its role. Challenges include delays and limited enforcement power, making it key for accountability."""
"""What is the difference between a Hindu joint family and a partnership?""","""In India, a Hindu joint family, under Hindu law, is a customary unit of coparceners (e.g., HUF) sharing ancestral property with survivorship rights, governed by birth, not contract. A partnership, under the Indian Partnership Act, 1932, is a voluntary association of individuals (minimum two) for profit, based on a partnership deed, with mutual agency and liability. The Hindu Succession Act, 2005, altered joint family dynamics, while partnerships dissolve on death unless agreed, as in Cox v. Hickman (1860), impacting succession and business."""
"""What is the Maintenance and Welfare of Parents and Senior Citizens Act?""","""The Maintenance and Welfare of Parents and Senior Citizens Act, 2007, ensures maintenance for parents and senior citizens (above 60) by children or relatives in India. It allows tribunals to order monthly support (up to Rs. 10,000, Section 4) and protect property rights, with penalties for neglect (Section 24). State governments implement it, with helplines. Cases like Sushil Kumar Sharma v. Union of India (2005) highlight its welfare intent. Challenges include enforcement and cultural resistance, aiming to secure elderly dignity."""
"""What is the difference between a public company and a private company?""","""Under the Companies Act, 2013, a public company (Section 2(71)) has minimum 7 members, no cap, with shares tradable on stock exchanges, requiring SEBI compliance and public disclosure. A private company (Section 2(68)) restricts membership to 200, prohibits public invites, and limits share transfers, offering privacy. Public companies face stricter audits, as in Satyam Computer Services (2009), while private ones enjoy flexibility, impacting capital and governance."""
"""What is the role of the National Commission for Women?""","""The National Commission for Women (NCW), established under the NCW Act, 1990, safeguards women’s rights in India. With a Chairperson and members, it investigates atrocities, reviews laws, and recommends policy, addressing issues like dowry or harassment. It handled 20,000+ complaints in 2023. Cases like Vishaka v. State of Rajasthan (1997) influenced its mandate. Its advisory role limits enforcement, facing funding and awareness gaps, making it a gender justice advocate."""
"""What is the Insolvency and Bankruptcy Code?""","""The Insolvency and Bankruptcy Code, 2016 (IBC), streamlines insolvency resolution in India for individuals and companies. It establishes the Insolvency and Bankruptcy Board, National Company Law Tribunal (NCLT), and processes for corporate (Chapter II) and personal (Chapter III) insolvency, aiming for time-bound resolution (180-270 days). It prioritizes creditors, as in Swiss Ribbons v. Union of India (2019). Challenges include delays and asset value loss, making it a reformative economic tool."""
"""What is the difference between a landlord and a tenant?""","""Under the Transfer of Property Act, 1882, a landlord (lessor) owns immovable property and grants a lease (Section 105) to a tenant (lessee) for rent, retaining reversionary rights. A tenant holds possession for the lease term, with use rights but not ownership, liable for rent. The Rent Control Acts vary by state, as in Ahmedabad v. Haji Abdul (1980), impacting eviction and rent fixation, shaping their legal relationship."""
"""What is the role of the Union Public Service Commission?""","""The Union Public Service Commission (UPSC), under Article 315 of the Constitution, conducts civil service exams (e.g., IAS, IPS) and advises on appointments, promotions, and disciplinary actions for central services. With a Chairman and members, it ensures merit-based recruitment, as in its 2024 CSE. Cases like Jaisinghani v. Union of India (1967) upheld its fairness. Its advisory role limits enforcement, facing political influence challenges, key for governance."""
"""What is the difference between a Hindu coparcener and a member?""","""In Hindu law, a coparcener, under the Hindu Succession Act, 2005, is a person (male or female since amendment) by birth in a Hindu Undivided Family (HUF) with a right to ancestral property and partition, limited to four generations. A member is any family member (e.g., wife, daughter-in-law) without such rights, sharing maintenance or residence benefits. Prakash v. Phulavati (2016) equalized coparcenary, distinguishing their property roles."""
"""What is the Scheduled Tribes and Other Traditional Forest Dwellers Act?""","""The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006, grants land rights to forest-dwelling communities in India. It recognizes individual and community rights (e.g., 4 hectares per family, Section 3), protecting against eviction. Implemented by gram sabhas, it countered colonial forest laws. Cases like Niyamgiri (2013) upheld tribal consent, but delays and encroachments challenge its efficacy."""
"""What is the difference between a Hindu widow’s estate and a full estate?""","""Under Hindu law, a Hindu widow’s estate, pre-Hindu Succession Act, 1956, allowed a widow limited rights to her husband’s property for maintenance, not full ownership, with reversion to heirs post-death. A full estate, post-1956, grants absolute ownership to female heirs. The Act, in G. Sekar v. Geetha (2009), abolished the limited estate, ensuring equal inheritance, impacting succession rights."""
"""What is the role of the State Human Rights Commission?""","""The State Human Rights Commission (SHRC), under the Protection of Human Rights Act, 1993, mirrors the NHRC at state levels, investigating human rights violations by state actors. With a Chairperson and members, it recommends remedies and awareness, handling 5,000+ cases annually (e.g., 2023 Tamil Nadu report). Cases like PUDR v. State of Bihar (1987) influenced its scope. Limited by funding and state cooperation, it’s vital for local justice."""
"""What is the difference between a promissory note and a bill of exchange?""","""Under the Negotiable Instruments Act, 1881, a promissory note (Section 4) is a written promise by a maker to pay a fixed sum to a payee, signed (e.g., loan repayment), with two parties. A bill of exchange (Section 5) is an order by a drawer to a drawee to pay a payee, involving three parties (e.g., trade draft). Cases like Kundan Lal v. Custodian (1961) distinguish their negotiability, affecting commercial use."""
"""What is the Maintenance of Internal Security Act?""","""The Maintenance of Internal Security Act (MISA), 1971, was an emergency law in India to detain individuals threatening national security, repealed in 1977 post-Emergency. It allowed preventive detention without trial, used during 1975-1977, affecting 1,00,000+ people. The Supreme Court in A.D.M. Jabalpur v. Shivkant Shukla (1976) controversially upheld it, later criticized. It’s a historical example of balancing security and liberty, replaced by the National Security Act, 1980."""
"""What is the difference between a Hindu adoption and a guardianship?""","""Under the Hindu Adoptions and Maintenance Act, 1956, adoption creates a permanent legal parent-child relationship, transferring all rights (e.g., inheritance) to the adoptee, requiring consent and registration. Guardianship, under the Guardians and Wards Act, 1890, is a temporary care arrangement (e.g., for minors), without inheritance rights, revocable. Cases like Gaurav Nagpal v. Sumedha Nagpal (2009) clarify adoption’s finality versus guardianship’s custody focus."""
"""What is the role of the National Commission for Scheduled Castes?""","""The National Commission for Scheduled Castes (NCSC), under Article 338, monitors SC welfare in India. With a Chairperson and members, it investigates atrocities, reviews laws, and advises the President, handling 15,000+ cases in 2023. Cases like State of Karnataka v. Appa Balu Ingale (1993) shaped its mandate. Limited enforcement power and state delays challenge its effectiveness, making it a key equity body."""
"""What is the difference between a Hindu marriage and a Muslim marriage?""","""A Hindu marriage, under the Hindu Marriage Act, 1955, is a sacrament requiring ceremonies (e.g., saptapadi), monogamous, with judicial divorce (Section 13). A Muslim marriage (nikah), under Muslim Personal Law, is a contract, potentially polygamous (up to four wives), with talaq or mutual consent for dissolution. The Supreme Court in Shayara Bano v. Union of India (2017) banned instant triple talaq, highlighting their divergent legal and cultural bases."""
"""What is the Indian Stamp Act?""","""The Indian Stamp Act, 1899, regulates stamp duty on legal documents (e.g., sale deeds, mortgages) in India, ensuring revenue and validity. Duty varies by state (e.g., 5-7% of property value), payable on execution, with penalties for evasion (Section 40). The Supreme Court in Hindustan Steel Ltd. v. State of Orissa (1970) allowed discretion in penalties. Digital stamping and interstate disparities challenge its uniformity, vital for legal recognition."""
"""What is the difference between a Hindu coparcenary and a partnership firm?""","""A Hindu coparcenary, under Hindu law, is a birth-based unit of HUF members (up to four generations) with ancestral property rights, governed by survivorship (pre-2005). A partnership firm, under the Indian Partnership Act, 1932, is a contractual association for profit, with mutual liability, dissolvable by agreement. The Hindu Succession Act, 2005, in Prakash v. Phulavati (2016), altered coparcenary, unlike partnership’s voluntary nature."""
"""What is the role of the National Commission for Minorities?""","""The National Commission for Minorities (NCM), under the NCM Act, 1992, protects the rights of notified minorities (Muslims, Christians, Sikhs, etc.) in India. With a Chairperson and members, it investigates grievances, reviews policies, and recommends welfare measures, handling 10,000+ cases in 2023. Cases like T.M.A. Pai Foundation v. State of Karnataka (2002) influenced its educational focus. Limited powers and funding gaps hinder its impact."""
"""What is the difference between a Hindu will and a Muslim will?""","""A Hindu will, under the Indian Succession Act, 1925, is a testamentary disposition of property, requiring two witnesses, effective post-death, with no restriction on property share. A Muslim will, under Muslim Personal Law, allows bequest of one-third of property without heirs’ consent, with the rest governed by inheritance rules, unwitnessed but oral in some cases. Cases like Umar Hayat Khan v. Amir Bano (1924) clarify their distinct frameworks."""
"""What is the Foreign Exchange Management Act?""","""The Foreign Exchange Management Act, 1999 (FEMA), regulates foreign exchange transactions in India, replacing FERA, 1973, with a civil approach. It governs capital account transactions, foreign investment, and penalties (e.g., Rs. 1 lakh to Rs. 2 lakh, Section 13) by the RBI and ED. Cases like Maniklal v. Premchand (1970) shaped its compliance focus. It balances economic liberalization with control, facing challenges from global finance complexities."""
"""What is the difference between a Hindu succession and a Muslim succession?""","""Hindu succession, under the Hindu Succession Act, 1956 (amended 2005), provides equal inheritance to males and females in ancestral and self-acquired property, with Class I heirs (e.g., sons, daughters) prioritized. Muslim succession, under Muslim Personal Law, follows Sharia, with fixed shares (e.g., 2:1 male-female ratio), excluding adoption, and no testamentary freedom beyond one-third. Cases like Gulam Abbas v. Haji Kayyum Ali (1973) highlight their divergent principles."""
"""What is the role of the Central Administrative Tribunal?""","""The Central Administrative Tribunal (CAT), under the Administrative Tribunals Act, 1985, adjudicates service disputes of central government employees in India. With benches across cities, it offers speedy justice (within 3 years), covering recruitment and discipline. Cases like L. Chandra Kumar v. Union of India (1997) affirmed its judicial status. Limited jurisdiction and backlog challenge its efficiency, making it key for administrative justice."""
"""What is the difference between a Hindu adoption and a Christian adoption?""","""A Hindu adoption, under the Hindu Adoptions and Maintenance Act, 1956, is a permanent legal parent-child bond with inheritance, requiring consent. A Christian adoption, absent a uniform law, follows the Guardians and Wards Act, 1890, as a temporary guardianship, without automatic inheritance, needing court approval. Cases like John Vallamattom v. Union of India (2003) pushed for Christian adoption reform, highlighting their legal disparity."""
"""What is the National Food Security Act?""","""The National Food Security Act, 2013, ensures food and nutritional security in India, providing subsidized food grains (5 kg per person monthly) to 67% of the population via the Public Distribution System. It prioritizes pregnant women, children, and destitute, with grievance redressal mechanisms. Cases like PUCL v. Union of India (2011) influenced its right-to-food basis. Implementation gaps and leakages challenge its reach, making it a welfare cornerstone."""
"""What is the difference between a Hindu gift and a Muslim gift?""","""A Hindu gift, under the Transfer of Property Act, 1882 (Section 122), is a voluntary property transfer without consideration, requiring registration for immovable property and acceptance. A Muslim gift (hiba), under Muslim Personal Law, is a similar transfer, but oral for movables, with immediate delivery and acceptance, revocable before delivery. Cases like Maqbool Alam v. Khodija (1966) distinguish their formalities, impacting property law."""
"""What is the role of the National Commission for Backward Classes?""","""The National Commission for Backward Classes (NCBC), under the NCBC Act, 1993 (amended 2018), identifies and recommends inclusion of Other Backward Classes (OBCs) for reservation benefits in India. With a Chairperson and members, it reviews welfare and submits reports to the President, handling 5,000+ cases in 2023. Cases like Indra Sawhney v. Union of India (1992) shaped its 27% quota role. Limited enforcement and data issues challenge its efficacy."""
"""What is the difference between a Hindu maintenance and a Muslim maintenance?""","""Hindu maintenance, under the Hindu Adoptions and Maintenance Act, 1956 (Section 18-19), obligates husbands to maintain wives and parents, with courts fixing amounts, enforceable lifelong. Muslim maintenance, under Muslim Personal Law, includes mahr and nafaqa, with iddat maintenance (3 months post-divorce), limited to specific periods, as in Shah Bano v. Mohd. Ahmed Khan (1985). Their scope and duration differ, impacting gender rights."""
"""What is the Street Vendors Act?""","""The Street Vendors (Protection of Livelihood and Regulation of Street Vending) Act, 2014, regulates street vending in India, protecting vendors’ livelihoods. It mandates town vending committees (40% vendor representation) for licensing and relocation, with eviction safeguards. Cases like Sodan Singh v. NDMC (1989) influenced its rights-based approach. Implementation lags and urban biases challenge its effectiveness, aiming for economic inclusion."""
"""What is the difference between a Hindu partition and a Muslim partition?""","""A Hindu partition, under Hindu law, divides HUF ancestral property among coparceners, with the Hindu Succession Act, 2005, including daughters, based on birthright. A Muslim partition, under Muslim Personal Law, splits self-acquired and inherited property per Sharia shares (e.g., 2:1), without coparcenary. Cases like Kalyani v. Narayanan (1980) clarify Hindu partition’s legal process versus Muslim’s customary division."""
"""What is the role of the National Commission for Protection of Child Rights?""","""The National Commission for Protection of Child Rights (NCPCR), under the CPCR Act, 2005, safeguards children’s rights in India. With a Chairperson and members, it monitors laws, investigates abuses, and advises policy, handling 12,000+ cases in 2023. Cases like Bachpan Bachao Andolan v. Union of India (2011) shaped its child labor focus. Funding and enforcement gaps limit its impact, making it a child welfare pillar."""
"""What is the difference between a Hindu divorce and a Muslim divorce?""","""A Hindu divorce, under the Hindu Marriage Act, 1955 (Section 13), requires judicial proceedings on grounds like cruelty or desertion, with mutual consent (Section 13B), monogamous. A Muslim divorce (talaq), under Muslim Personal Law, allows unilateral talaq-e-biddat (banned in 2017, Shayara Bano v. Union of India) or mutual khula, without court initially, polygamous. Their processes and gender dynamics differ significantly."""
"""What is the Land Acquisition Act?""","""The Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013, governs land acquisition in India, replacing the 1894 Act. It mandates 4x rural and 2x urban compensation, consent (80% for PPP, 70% for government projects), and rehabilitation (e.g., jobs). Cases like Pune Municipal Corp. v. Harakchand (2014) upheld its fairness. Delays and farmer protests challenge its implementation, balancing development and rights."""
"""What is the difference between a Hindu will and a Christian will?""","""A Hindu will, under the Indian Succession Act, 1925, disposes of property with two witnesses, no share limit. A Christian will, under the same Act, follows similar formalities but aligns with Christian succession (equal shares), with probate mandatory for immovable property. Cases like Mary Roy v. State of Kerala (1986) reformed Christian inheritance, distinguishing their application."""
"""What is the role of the Competition Commission of India?""","""The Competition Commission of India (CCI), under the Competition Act, 2002, prevents anti-competitive practices in India. With a Chairperson and members, it probes cartels, abuse of dominance, and mergers, imposing fines (e.g., Rs. 1,337 crore on Google, 2022). Cases like CCI v. SAIL (2010) affirmed its autonomy. Limited resources and appeal delays challenge its market regulation role."""
"""What is the difference between a Hindu joint family business and a company?""","""A Hindu joint family business, under Hindu law, operates via HUF, managed by the karta, with ancestral funds, no separate entity. A company, under the Companies Act, 2013, is a legal entity (public/private), with shareholders and directors, funded by capital. The Hindu Succession Act, 2005, impacts HUF, unlike company’s corporate structure, as in Salomon v. Salomon (1897)."""
"""What is the Unlawful Activities Prevention Act?""","""The Unlawful Activities (Prevention) Act, 1967 (UAPA), amended in 2019, combats terrorism and unlawful activities in India. It bans terrorist organizations (Section 3), allows property seizure (Section 7), and detention without bail (Section 43D), with life imprisonment or death. Cases like PUCL v. Union of India (2004) debated its misuse. Broad definitions and low bail grants challenge its human rights balance."""
"""What is the difference between a Hindu adoption and a Muslim adoption?""","""Hindu adoption, under the Hindu Adoptions and Maintenance Act, 1956, is a legal parent-child bond with inheritance, requiring consent. Muslim adoption, absent in Sharia, uses kafala (care), not conferring inheritance, under the Guardians and Wards Act, 1890. Cases like Muhammad Allahabad Khan v. Muhammad Ismail Khan (1888) highlight Muslim practice’s informal nature."""
"""What is the role of the Telecom Regulatory Authority of India?""","""The Telecom Regulatory Authority of India (TRAI), under the TRAI Act, 1997, regulates telecommunications in India. With a Chairperson and members, it sets tariffs, ensures service quality, and advises on policy, handling 1,00,000+ complaints in 2023. Cases like BSNL v. TRAI (2006) affirmed its autonomy. Spectrum allocation and OTT regulation challenges its scope, making it a telecom governance pillar."""
"""What is the difference between a Hindu partition and a dissolution of partnership?""","""A Hindu partition, under Hindu law, divides HUF ancestral property among coparceners, with the 2005 Act including daughters. A dissolution of partnership, under the Indian Partnership Act, 1932 (Section 40-44), ends a profit-sharing agreement, settling accounts. Cases like Kalloomal Tapeswari Prasad v. CIT (1982) distinguish their familial versus contractual basis."""
"""What is the Child Labour Act?""","""The Child Labour (Prohibition and Regulation) Act, 1986, amended in 2016, prohibits children below 14 from hazardous work and regulates others in India. It sets penalties (6 months to 2 years, Section 14) and mandates education. Cases like M.C. Mehta v. State of Tamil Nadu (1996) shaped its enforcement. Weak monitoring and poverty challenge its impact, aiming to protect child rights."""
"""What is the difference between a Hindu coparcenary and a trust?""","""A Hindu coparcenary, under Hindu law, is a birth-based HUF unit with ancestral property rights, managed by the karta. A trust, under the Indian Trusts Act, 1882, holds property for beneficiaries, managed by trustees, created by deed. The Hindu Succession Act, 2005, altered coparcenary, unlike trust’s contractual nature, as in CIT v. Kamalini Khatau (1994)."""
"""What is the role of the Securities and Exchange Board of India?""","""The Securities and Exchange Board of India (SEBI), under the SEBI Act, 1992, regulates India’s securities market. With a Chairperson and members, it oversees stock exchanges, prevents fraud, and protects investors, fining Rs. 1,000 crore in 2023 cases. Cases like Sahara India Real Estate v. SEBI (2014) affirmed its powers. Market volatility and insider trading challenge its oversight, making it a financial guardian."""
"""What is the difference between a Hindu marriage and a Christian marriage?""","""A Hindu marriage, under the Hindu Marriage Act, 1955, is a sacrament with ceremonies, monogamous, with judicial divorce. A Christian marriage, under the Indian Christian Marriage Act, 1872, is a contract with church registration, monogamous, with divorce under the Divorce Act, 1869. Cases like T. Sareetha v. T. Venkata Subbaiah (1983) distinguish their legal foundations."""
"""What is the Plantation Labour Act?""","""The Plantation Labour Act, 1951, regulates working conditions for plantation workers (e.g., tea, coffee) in India. It mandates housing, medical facilities, and education (Section 11-17), with penalties for violations. Cases like People’s Union for Democratic Rights v. Union of India (1982) influenced its labor rights focus. Implementation gaps and seasonal work challenge its efficacy."""
"""What is the difference between a Hindu will and a Parsi will?""","""A Hindu will, under the Indian Succession Act, 1925, disposes of property with two witnesses, no share limit. A Parsi will, under the same Act (Part II), follows similar formalities but includes spousal rights (one-third share), with probate mandatory. Cases like Meherbai v. Hormasji (1921) clarify Parsi succession rules, differing in inheritance weightage."""
"""What is the role of the Reserve Bank of India?""","""The Reserve Bank of India (RBI), established under the RBI Act, 1934, is India’s central bank, managing currency, monetary policy, and banking regulation. With a Governor and board, it controls interest rates, issues rupees, and oversees financial stability, as in its 2023 repo rate hikes. Cases like Rustom Cavasjee Cooper v. Union of India (1970) affirmed its autonomy. Inflation and digital currency challenges its role, making it an economic pillar."""
"""What is the difference between a Hindu joint family and a cooperative society?""","""A Hindu joint family, under Hindu law, is a customary unit with ancestral property, managed by the karta. A cooperative society, under the Cooperative Societies Act, varies by state, is a voluntary association for mutual benefit (e.g., housing), with democratic governance. The Hindu Succession Act, 2005, impacts joint families, unlike cooperatives’ contractual basis, as in Ram Chandra v. State of UP (1966)."""
"""What is the Industrial Disputes Act?""","""The Industrial Disputes Act, 1947, regulates labor disputes in India, promoting conciliation, arbitration, and adjudication. It defines strikes, lockouts, and layoffs (Section 2), with tribunals resolving conflicts. Cases like Workmen of Firestone v. Management (1973) shaped its labor rights focus. Delays and employer bias challenge its efficacy, making it a key industrial harmony tool."""
"""What is the difference between a Hindu adoption and a Parsi adoption?""","""A Hindu adoption, under the Hindu Adoptions and Maintenance Act, 1956, creates a legal parent-child bond with inheritance. A Parsi adoption, absent a specific law, follows the Guardians and Wards Act, 1890, as temporary guardianship, without inheritance. Cases like In re Adoption of Indian Children (1984) highlight Parsi practice’s informal nature, differing from Hindu codification."""
"""What is the role of the National Consumer Disputes Redressal Commission?""","""The National Consumer Disputes Redressal Commission (NCDRC), under the Consumer Protection Act, 2019, is the apex body for consumer grievances in India. With a President and members, it handles complaints above Rs. 10 crore, offering mediation and compensation. Cases like Lucknow Development Authority v. M.K. Gupta (1994) shaped its jurisdiction. Backlogs and enforcement gaps challenge its consumer protection role."""
"""What is the difference between a Hindu partition and a company winding up?""","""A Hindu partition, under Hindu law, divides HUF property among coparceners, with the 2005 Act including daughters. A company winding up, under the Companies Act, 2013 (Section 270-365), dissolves a company, liquidating assets for creditors/shareholders. Cases like Official Liquidator v. Dharti Dhan (1977) distinguish their familial versus corporate nature."""
"""What is the Apprentices Act?""","""The Apprentices Act, 1961, regulates apprenticeship training in India, mandating employer-provided skills for trades (e.g., electrician). It sets terms (1-3 years), stipends, and penalties for non-compliance (Section 30). Cases like U.P. State Electricity Board v. Shiv Mohan Singh (2004) influenced its scope. Implementation and industry reluctance challenge its skill development goal."""
"""What is the difference between a Hindu will and a Sikh will?""","""A Hindu will, under the Indian Succession Act, 1925, disposes of property with two witnesses, no share limit. A Sikh will, as Hindus, follows the same Act, with similar formalities, reflecting their legal assimilation. Cases like Jaswant Kaur v. Amrit Kaur (1977) confirm this uniformity, differing only in customary practice emphasis."""
"""What is the role of the Food Safety and Standards Authority of India?""","""The Food Safety and Standards Authority of India (FSSAI), under the Food Safety and Standards Act, 2006, ensures food safety in India. With a CEO and board, it sets standards, licenses food businesses, and recalls unsafe products, handling 50,000+ complaints in 2023. Cases like Union of India v. Pepsi Foods Ltd. (1998) shaped its regulatory role. Adulteration and awareness gaps challenge its public health mandate."""
